dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
000000,0000,00,00,am
000001,0000,00,00,am
000002,0000,00,00,am
000003,0000,00,00,am
000004,0000,00,00,am
000005,0000,00,00,am
000006,0000,00,00,am
000007,0000,00,00,am
000008,0000,00,00,am
000009,0000,00,00,am
000010,0000,00,00,am
000011,0000,00,00,am
000012,0000,00,00,am
000013,0000,00,00,am
000014,0000,00,00,am
000015,0000,00,00,am
000016,0000,00,00,am
000017,0000,00,00,am
000018,0000,00,00,am
000019,0000,00,00,am
000020,0000,00,00,am
000021,0000,00,00,am
000022,0000,00,00,am
000023,0000,00,00,am
000024,0000,00,00,am
000025,0000,00,00,am
000026,0000,00,00,am
000027,0000,00,00,am
000028,0000,00,00,am
000029,0000,00,00,am
000030,0000,00,00,am
000031,0000,00,00,am
000032,0000,00,00,am
000033,0000,00,00,am
000034,0000,00,00,am
000035,0000,00,00,am
000036,0000,00,00,am
000037,0000,00,00,am
000038,0000,00,00,am
000039,0000,00,00,am
000040,0000,00,00,am
000041,0000,00,00,am
000042,0000,00,00,am
000043,0000,00,00,am
000044,0000,00,00,am
000045,0000,00,00,am
000046,0000,00,00,am
000047,0000,00,00,am
000048,0000,00,00,am
000049,0000,00,00,am
000050,0000,00,00,am
000051,0000,00,00,am
000052,0000,00,00,am
000053,0000,00,00,am
000054,0000,00,00,am
000055,0000,00,00,am
000056,0000,00,00,am
000057,0000,00,00,am
000058,0000,00,00,am
000059,0000,00,00,am
000100,0001,00,00,am
000101,0001,00,00,am
000102,0001,00,00,am
000103,0001,00,00,am
000104,0001,00,00,am
000105,0001,00,00,am
000106,0001,00,00,am
000107,0001,00,00,am
000108,0001,00,00,am
000109,0001,00,00,am
000110,0001,00,00,am
000111,0001,00,00,am
000112,0001,00,00,am
000113,0001,00,00,am
000114,0001,00,00,am
000115,0001,00,00,am
000116,0001,00,00,am
000117,0001,00,00,am
000118,0001,00,00,am
000119,0001,00,00,am
000120,0001,00,00,am
000121,0001,00,00,am
000122,0001,00,00,am
000123,0001,00,00,am
000124,0001,00,00,am
000125,0001,00,00,am
000126,0001,00,00,am
000127,0001,00,00,am
000128,0001,00,00,am
000129,0001,00,00,am
000130,0001,00,00,am
000131,0001,00,00,am
000132,0001,00,00,am
000133,0001,00,00,am
000134,0001,00,00,am
000135,0001,00,00,am
000136,0001,00,00,am
000137,0001,00,00,am
000138,0001,00,00,am
000139,0001,00,00,am
000140,0001,00,00,am
000141,0001,00,00,am
000142,0001,00,00,am
000143,0001,00,00,am
000144,0001,00,00,am
000145,0001,00,00,am
000146,0001,00,00,am
000147,0001,00,00,am
000148,0001,00,00,am
000149,0001,00,00,am
000150,0001,00,00,am
